id,category,module,n_gold,n_retrieved,recall,full_cover,decode_cov,gold_tables,missed
1,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
2,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
3,domain_specific,EWB,1,17,1.0,1,,public.tbl_ewb_parta_ewb,
4,filtering,EWB,1,12,1.0,1,,public.tbl_ewb_parta_ewb,
5,domain_specific,EWB,1,14,1.0,1,,public.tbl_ewb_parta_ewb,
6,filtering,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
7,filtering,EWB,1,12,1.0,1,,public.tbl_ewb_parta_ewb,
8,aggregation,EWB,1,15,1.0,1,,public.tbl_ewb_parta_ewb,
9,aggregation,EWB,1,15,1.0,1,,public.tbl_ewb_parta_ewb,
10,aggregation,EWB,1,14,1.0,1,,public.tbl_ewb_parta_ewb,
11,aggregation,EWB,1,15,1.0,1,,public.tbl_ewb_parta_ewb,
12,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
13,quirk,EWB,1,14,1.0,1,,public.tbl_ewb_parta_ewb,
14,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
15,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
16,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
17,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
18,domain_specific,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
19,domain_specific,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
20,aggregation,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
21,grouping,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
22,grouping,EWB,1,16,1.0,1,,public.tbl_ewb_parta_ewb,
23,grouping,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
24,ranking,EWB,1,15,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
25,ranking,EWB,1,13,1.0,1,,public.tbl_ewb_parta_ewb,
