id,category,module,cat_hit,mod_hit,both_hit,mrr_cat,first_cat_rank,retrieved_ids,retrieved_cats,latency_ms
1,aggregation,EWB,1,1,1,0.3333,3,1136|1086|1063|1102|1100,having|grouping|aggregation|join|join,214.91
2,aggregation,EWB,1,1,1,0.5,2,1038|1061|1101|1128|1113,domain_specific|aggregation|join|subquery|filtering,220.0
3,domain_specific,EWB,1,1,1,1.0,1,1036|1037|1065|1129|1120,domain_specific|domain_specific|aggregation|subquery|quirk,235.58
4,filtering,EWB,0,1,0,0.0,0,1098|1099|1100|1136|1086,join|join|join|having|grouping,211.69
5,domain_specific,EWB,1,1,1,1.0,1,1037|1064|1036|1097|1042,domain_specific|aggregation|domain_specific|grouping|domain_specific,254.67
6,filtering,EWB,0,1,0,0.0,0,1102|1086|1136|1063|1100,join|grouping|having|aggregation|join,215.73
7,filtering,EWB,1,1,1,0.2,5,1099|1136|1100|1086|1113,join|having|join|grouping|filtering,203.86
8,aggregation,EWB,1,1,1,1.0,1,1064|1036|1037|1040|1065,aggregation|domain_specific|domain_specific|domain_specific|aggregation,228.0
9,aggregation,EWB,1,1,1,1.0,1,1064|1036|1037|1060|1065,aggregation|domain_specific|domain_specific|aggregation|aggregation,220.51
10,aggregation,EWB,1,1,1,1.0,1,1064|1065|1060|1037|1036,aggregation|aggregation|aggregation|domain_specific|domain_specific,215.03
11,aggregation,EWB,1,1,1,1.0,1,1062|1124|1063|1073|1086,aggregation|quirk|aggregation|aggregation|grouping,222.49
12,aggregation,EWB,1,1,1,1.0,1,1063|1086|1136|1020|1102,aggregation|grouping|having|ranking|join,208.92
13,quirk,EWB,1,1,1,1.0,1,1120|1038|1040|1122|1101,quirk|domain_specific|domain_specific|quirk|join,220.98
14,aggregation,EWB,1,1,1,1.0,1,1061|1038|1128|1098|1101,aggregation|domain_specific|subquery|join|join,227.51
15,aggregation,EWB,1,1,1,1.0,1,1061|1128|1113|1038|1060,aggregation|subquery|filtering|domain_specific|aggregation,215.3
16,aggregation,EWB,1,1,1,0.3333,3,1102|1122|1063|1130|1086,join|quirk|aggregation|subquery|grouping,202.75
17,aggregation,EWB,1,1,1,0.5,2,1083|1063|1102|1086|1136,grouping|aggregation|join|grouping|having,208.63
18,domain_specific,EWB,1,1,1,0.3333,3,1136|1063|1038|1086|1039,having|aggregation|domain_specific|grouping|domain_specific,213.51
19,domain_specific,EWB,1,1,1,0.25,4,1136|1063|1086|1039|1101,having|aggregation|grouping|domain_specific|join,219.46
20,aggregation,EWB,1,1,1,0.25,4,1101|1038|1098|1061|1042,join|domain_specific|join|aggregation|domain_specific,205.63
21,grouping,EWB,1,1,1,1.0,1,1086|1063|1102|1136|1100,grouping|aggregation|join|having|join,202.51
22,grouping,EWB,1,1,1,1.0,1,1085|1038|1101|1016|1084,grouping|domain_specific|join|ranking|grouping,219.88
23,grouping,EWB,1,1,1,0.3333,3,1136|1063|1086|1020|1110,having|aggregation|grouping|ranking|filtering,242.2
