id,module,difficulty,category,question,gold_sql,runs,ex_passes,ver_passes,em_passes,ex_rate,ver_rate,last_pred_sql,last_error
1,EWB,simple,aggregation,How many e-way bills are there?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,SELECT COUNT(*) AS total_eway_bills FROM public.tbl_ewb_parta_ewb;,
2,EWB,simple,aggregation,What is the total assessable value across all e-way bills?,SELECT SUM(assval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,SELECT SUM(assval) AS total_assessable_value FROM public.tbl_ewb_parta_ewb;,
3,EWB,simple,domain_specific,What is the total IGST collected on inter-state e-way bills?,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,3,3,3,0,1.0,1.0,SELECT SUM(igstval) AS total_igst_collected FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,
4,EWB,simple,filtering,How many e-way bills are cancelled?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'CNL';,3,3,3,0,1.0,1.0,SELECT COUNT(*) AS cancelled_ewb_count FROM public.tbl_ewb_parta_ewb WHERE status = 'CNL';,
5,EWB,simple,domain_specific,What is the total tax (CGST + SGST + IGST) collected across all e-way bills?,SELECT SUM(cgstval + sgstval + igstval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,SELECT SUM(cgstval) + SUM(sgstval) + SUM(igstval) AS total_tax FROM public.tbl_ewb_parta_ewb;,
6,EWB,simple,filtering,How many e-way bills are active?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'ACT';,3,3,3,0,1.0,1.0,SELECT COUNT(*) AS active_ewb_count FROM public.tbl_ewb_parta_ewb WHERE status = 'ACT';,
7,EWB,simple,filtering,How many e-way bills have expired?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'EXP';,3,3,3,0,1.0,1.0,SELECT COUNT(*) AS expired_ewb_count FROM public.tbl_ewb_parta_ewb WHERE status = 'EXP';,
8,EWB,simple,aggregation,What is the total CGST across all e-way bills?,SELECT SUM(cgstval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,SELECT SUM(cgstval) AS total_cgst FROM public.tbl_ewb_parta_ewb;,
9,EWB,simple,aggregation,What is the total SGST across all e-way bills?,SELECT SUM(sgstval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,SELECT SUM(sgstval) AS total_sgst FROM public.tbl_ewb_parta_ewb;,
10,EWB,simple,aggregation,What is the total IGST across all e-way bills?,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,SELECT SUM(igstval) AS total_igst FROM public.tbl_ewb_parta_ewb;,
