id,module,difficulty,category,question,gold_sql,runs,ex_passes,ver_passes,em_passes,ex_rate,ver_rate,last_pred_sql,last_error
2001,GSTR-3B,simple,domain_specific,What is the total zero-rated (export) outward supply value across all GSTR-3B returns?,SELECT SUM(oz.txval) AS v FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_sup_details_osupzero oz ON oz.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details;,1,1,1,0,1.0,1.0,"SELECT SUM(o.txval) AS v
FROM public.tbl_gst_rtn_r3b r
JOIN public.tbl_gst_rtn_r3b_sup_details s
  ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b
JOIN public.tbl_gst_rtn_r3b_sup_details_osupzero o
  ON o.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details;",
2002,GSTR-3B,simple,domain_specific,What is the total nil-rated and exempt outward supply value across all GSTR-3B returns?,SELECT SUM(onx.txval) AS v FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_sup_details_osupnilexmp onx ON onx.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details;,1,1,1,0,1.0,1.0,"SELECT SUM(o.txval) AS v
FROM public.tbl_gst_rtn_r3b r
JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b
JOIN public.tbl_gst_rtn_r3b_sup_details_osupnilexmp o ON o.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details;",
2003,GSTR-3B,moderate,domain_specific,What is the total non-GST outward supply value in financial year 2024-25?,SELECT SUM(ong.txval) AS v FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_sup_details_osupnongst ong ON ong.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details JOIN common.mst_3bd_months_t m ON m.ret_period_fl = r.ret_period WHERE m.fy_flag = 8;,1,1,1,0,1.0,1.0,"SELECT SUM(o.txval) AS v
FROM public.tbl_gst_rtn_r3b r
JOIN common.mst_3bd_months_t m ON m.ret_period_fl = r.ret_period
JOIN common.mst_fy_years_t y ON y.flag_fy = m.fy_flag
JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b
JOIN public.tbl_gst_rtn_r3b_sup_details_osupnongst o ON o.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details
WHERE y.desc_year = '2024-25';",
2004,GSTR-3B,moderate,domain_specific,What is the total ITC available on all inward supplies (SGST + CGST + IGST) across all GSTR-3B returns?,SELECT SUM(av.samt + av.camt + av.iamt) AS v FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_itc_elg e ON e.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_itc_elg_itc_avl av ON av.idtbl_gst_rtn_r3b_itc_elg = e.idtbl_gst_rtn_r3b_itc_elg;,1,1,1,0,1.0,1.0,"SELECT SUM(av.iamt + av.camt + av.samt) AS v
FROM public.tbl_gst_rtn_r3b r
JOIN public.tbl_gst_rtn_r3b_itc_elg e ON e.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b
JOIN public.tbl_gst_rtn_r3b_itc_elg_itc_avl av ON av.idtbl_gst_rtn_r3b_itc_elg = e.idtbl_gst_rtn_r3b_itc_elg;",
2005,GSTR-3B,moderate,grouping,What is the total IGST paid through ITC for each division?,"SELECT j.division, SUM(pi.i_pdi + pi.i_pdc + pi.i_pds) AS v FROM public.tbl_gst_rtn_r3b r JOIN common.t_all_delers_api_v_t d ON d.gstin = r.gstin JOIN common.mst_state_jurisdiction_code j ON j.state_jur_code = d.stjd JOIN public.tbl_gst_rtn_r3b_tx_pmt p ON p.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_tx_pmt_pd_itc pi ON pi.idtbl_gst_rtn_r3b_tx_pmt = p.idtbl_gst_rtn_r3b_tx_pmt GROUP BY j.division;",1,1,1,1,1.0,1.0,"SELECT j.division, SUM(pi.i_pdi + pi.i_pdc + pi.i_pds) AS v FROM public.tbl_gst_rtn_r3b r JOIN common.t_all_delers_api_v_t d ON d.gstin = r.gstin JOIN common.mst_state_jurisdiction_code j ON j.state_jur_code = d.stjd JOIN public.tbl_gst_rtn_r3b_tx_pmt p ON p.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_tx_pmt_pd_itc pi ON pi.idtbl_gst_rtn_r3b_tx_pmt = p.idtbl_gst_rtn_r3b_tx_pmt GROUP BY j.division;",
2006,GSTR-3B,challenging,ranking,List the top 3 taxpayers by total tax paid in cash across all years.,SELECT r.gstin FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_tx_pmt p ON p.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_tx_pmt_pd_cash pc ON pc.idtbl_gst_rtn_r3b_tx_pmt = p.idtbl_gst_rtn_r3b_tx_pmt GROUP BY r.gstin ORDER BY SUM(pc.ipd + pc.cpd + pc.spd + pc.cspd) DESC LIMIT 3;,1,1,1,1,1.0,1.0,SELECT r.gstin FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_tx_pmt p ON p.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_tx_pmt_pd_cash pc ON pc.idtbl_gst_rtn_r3b_tx_pmt = p.idtbl_gst_rtn_r3b_tx_pmt GROUP BY r.gstin ORDER BY SUM(pc.ipd + pc.cpd + pc.spd + pc.cspd) DESC LIMIT 3;,
2007,GSTR-3B,challenging,decode,"What is the total zero-rated supply value per financial year, labelled by year?","SELECT y.desc_year, SUM(oz.txval) AS v FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_sup_details_osupzero oz ON oz.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details JOIN common.mst_3bd_months_t m ON m.ret_period_fl = r.ret_period JOIN common.mst_fy_years_t y ON y.flag_fy = m.fy_flag GROUP BY y.desc_year;",1,1,1,0,1.0,1.0,"SELECT y.desc_year, SUM(z.txval) AS v
FROM public.tbl_gst_rtn_r3b r
JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b
JOIN public.tbl_gst_rtn_r3b_sup_details_osupzero z ON z.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details
JOIN common.mst_3bd_months_t m ON m.ret_period_fl = r.ret_period
JOIN common.mst_fy_years_t y ON y.flag_fy = m.fy_flag
GROUP BY y.desc_year;",
2008,GSTR-3B,moderate,filtering,How many GSTR-3B returns had net SGST ITC available above 50000?,SELECT COUNT(*) AS n FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_itc_elg e ON e.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_itc_elg_itc_net n ON n.idtbl_gst_rtn_r3b_itc_elg = e.idtbl_gst_rtn_r3b_itc_elg WHERE n.samt > 50000;,1,1,1,1,1.0,1.0,"SELECT COUNT(*) AS n
FROM public.tbl_gst_rtn_r3b r
JOIN public.tbl_gst_rtn_r3b_itc_elg e ON e.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b
JOIN public.tbl_gst_rtn_r3b_itc_elg_itc_net n ON n.idtbl_gst_rtn_r3b_itc_elg = e.idtbl_gst_rtn_r3b_itc_elg
WHERE n.samt > 50000;",
2009,GSTR-3B,moderate,aggregation,What is the average net IGST ITC available per return in financial year 2025-26?,SELECT AVG(n.iamt) AS v FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_itc_elg e ON e.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_itc_elg_itc_net n ON n.idtbl_gst_rtn_r3b_itc_elg = e.idtbl_gst_rtn_r3b_itc_elg JOIN common.mst_3bd_months_t m ON m.ret_period_fl = r.ret_period WHERE m.fy_flag = 9;,1,1,1,1,1.0,1.0,"SELECT AVG(n.iamt) AS v
FROM public.tbl_gst_rtn_r3b r
JOIN public.tbl_gst_rtn_r3b_itc_elg e ON e.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b
JOIN public.tbl_gst_rtn_r3b_itc_elg_itc_net n ON n.idtbl_gst_rtn_r3b_itc_elg = e.idtbl_gst_rtn_r3b_itc_elg
JOIN common.mst_3bd_months_t m ON m.ret_period_fl = r.ret_period
WHERE m.fy_flag = 9;",
2010,GSTR-3B,challenging,subquery,How many taxpayers had a total outward taxable value above 5000000 across all years?,"SELECT COUNT(*) AS n FROM (SELECT r.gstin, SUM(o.txval) AS tot FROM public.tbl_gst_rtn_r3b r JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b JOIN public.tbl_gst_rtn_r3b_sup_details_osupdet o ON o.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details GROUP BY r.gstin) q WHERE q.tot > 5000000;",1,1,1,0,1.0,1.0,"SELECT COUNT(*) AS n
FROM (
    SELECT r.gstin
    FROM public.tbl_gst_rtn_r3b r
    JOIN public.tbl_gst_rtn_r3b_sup_details s ON s.idtbl_gst_rtn_r3b = r.idtbl_gst_rtn_r3b
    JOIN public.tbl_gst_rtn_r3b_sup_details_osupdet o ON o.idtbl_gst_rtn_r3b_sup_details = s.idtbl_gst_rtn_r3b_sup_details
    GROUP BY r.gstin
    HAVING SUM(o.txval) > 5000000
) q;",
