pool_id,pool_category,max_cosine,closest_eval_id,flagged_cosine,sql_template_twin,pool_question,closest_eval_question
1001,decode,0.817,71,0,,"What is the total IGST payable for each financial year, labelled by year?","What is the total state income for each financial year, labelled by year?"
1002,decode,0.8138,112,0,,What is the total CGST payable per financial year name?,What is the total CGST tax payable declared across all GSTR-7 returns?
1003,decode,0.7516,71,0,,"What is the total net IGST input tax credit available for each financial year, shown by year label?","What is the total state income for each financial year, labelled by year?"
1004,decode,0.8381,45,0,,What is the total state income per month name in FY 2025-26?,What is the total state income for financial year 2024-25?
1005,decode,0.7986,47,0,,What is the total SGST payable per quarter in FY 2025-26?,What is the total SGST payable across all GSTR-3B returns?
1006,decode,0.8985,53,0,,How many GSTR-3B returns were filed in each quarter of FY 2024-25?,How many GSTR-3B returns were filed in financial year 2025-26?
1007,decode,0.7934,48,0,,What is the total IGST payable per month name in FY 2025-26?,What is the total IGST payable across all GSTR-3B returns?
1008,decode,0.7892,52,0,,"What is the total reverse-charge inward taxable value for each financial year, labelled by year?",What is the total value of inward supplies liable to reverse charge across all returns?
1009,decode,0.8535,71,0,,What is the average state income per return for each financial year name?,"What is the total state income for each financial year, labelled by year?"
1010,decode,0.8788,76,0,,"What is the total tax payable (SGST + CGST + IGST) for each financial year, labelled by year?",What is the total tax payable (SGST + CGST + IGST) for each division?
1011,decode,0.9148,45,1,,What is the total state income per quarter in FY 2024-25?,What is the total state income for financial year 2024-25?
1012,decode,0.8205,78,0,,How many distinct taxpayers filed in each month name of FY 2024-25?,"How many distinct taxpayers filed in each financial year, labelled by year?"
1013,decode,0.779,51,0,,What is the total net SGST input tax credit available for each financial year name?,What is the total net SGST ITC available across all GSTR-3B returns?
1014,decode,0.9563,53,1,,How many GSTR-3B returns were filed in each month name of FY 2025-26?,How many GSTR-3B returns were filed in financial year 2025-26?
1015,decode,0.808,74,0,,What is the total CGST payable per quarter in FY 2024-25?,What is the total outward taxable value per quarter in FY 2024-25?
1016,ranking,0.9624,26,1,,List the top 3 consignees by total assessable value.,List the top 3 consignors by total assessable value.
1017,ranking,0.9215,25,1,,Which origin state has the highest total CGST in e-way bills?,Which destination state has the highest total IGST in e-way bills?
1018,ranking,0.8884,24,0,,Which HSN code has the highest average assessable amount per item line?,Which 3 HSN codes have the highest total assessable amount?
1019,ranking,0.7874,26,0,,List the top 3 consignors by number of e-way bills generated.,List the top 3 consignors by total assessable value.
1020,ranking,0.9276,38,1,,Which destination state received the most e-way bills?,Which origin state has the most e-way bills?
1021,ranking,0.7351,42,0,,List the top 2 origin states by total invoice value.,What is the total IGST for each origin state?
1022,ranking,0.8273,10,0,,Which consignee has the highest total IGST across their e-way bills?,What is the total IGST across all e-way bills?
1023,ranking,0.891,79,0,,List the top 3 taxpayers by total net ITC available (SGST + CGST + IGST) in FY 2024-25.,List the top 5 taxpayers by total tax payable (SGST + CGST + IGST) in FY 2024-25.
1024,ranking,0.8816,61,0,,Which division has the highest total outward taxable value?,What is the total outward taxable value for each division?
1025,ranking,0.8161,72,0,,List the top 5 taxpayers by total state income across all years.,List the top 4 taxpayers by total outward taxable value across all years.
1026,ranking,0.8679,64,0,,Which 3 ranges have the most GSTR-3B returns?,Which 3 divisions have the most GSTR-3B returns?
1027,ranking,0.8421,44,0,,Which taxpayer filed the most GSTR-3B returns?,How many distinct taxpayers filed GSTR-3B?
1028,ranking,0.7698,76,0,,List the top 2 divisions by total SGST payable.,What is the total tax payable (SGST + CGST + IGST) for each division?
1029,ranking,0.905,75,1,,Which unit collected the most state income?,Which division collected the most state income?
1030,ranking,0.7937,84,0,,List the top 3 deductors by number of GSTR-7 returns filed.,How many distinct deductors filed GSTR-7 returns?
1031,ranking,0.8785,102,0,,List the top 3 deductees by number of TDS rows recorded against them.,List the top 3 deductees by total base amount on which TDS was deducted.
1032,ranking,0.9163,102,1,,List the top 2 deductors by total base amount on which TDS was deducted.,List the top 3 deductees by total base amount on which TDS was deducted.
1033,ranking,0.8886,108,0,,Which return period had the highest total TDS deducted?,Which deductor deducted the highest total TDS?
1034,ranking,0.8944,102,0,,List the top 3 deductees by total IGST TDS withheld.,List the top 3 deductees by total base amount on which TDS was deducted.
1035,ranking,0.8213,108,0,,Which deductor declared the highest total tax payable?,Which deductor deducted the highest total TDS?
1036,domain_specific,0.9231,5,1,,What is the total CGST plus SGST collected on intra-state e-way bills?,What is the total tax (CGST + SGST + IGST) collected across all e-way bills?
1037,domain_specific,0.937,5,1,,What is the total tax (CGST + SGST + IGST + cess) on inter-state e-way bills?,What is the total tax (CGST + SGST + IGST) collected across all e-way bills?
1038,domain_specific,0.9218,2,1,,What is the total assessable value of intra-state e-way bills?,What is the total assessable value across all e-way bills?
1039,domain_specific,0.8568,3,0,,How many inter-state e-way bills carry non-zero IGST?,What is the total IGST collected on inter-state e-way bills?
1040,domain_specific,0.8549,8,0,,What is the total cess collected across all e-way bills?,What is the total CGST across all e-way bills?
1041,domain_specific,0.8422,3,0,,What is the total IGST on e-way bills originating from Gujarat?,What is the total IGST collected on inter-state e-way bills?
1042,domain_specific,0.9283,40,1,,What is the total assessable amount of e-way bill items taxed above 12% IGST?,What is the total assessable amount of e-way bill items taxed at 18% IGST?
