id,category,module,cat_hit,mod_hit,both_hit,mrr_cat,first_cat_rank,retrieved_ids,retrieved_cats,latency_ms
1,aggregation,EWB,1,1,1,0.3333,3,1086|1111|1063|1102|1100,grouping|filtering|aggregation|join|join,228.55
2,aggregation,EWB,1,1,1,0.5,2,1038|1061|1128|1040|1101,domain_specific|aggregation|subquery|domain_specific|join,218.5
3,domain_specific,EWB,1,1,1,1.0,1,1037|1036|1120|1129|1101,domain_specific|domain_specific|quirk|subquery|join,212.5
4,filtering,EWB,1,1,1,0.2,5,1098|1086|1100|1063|1111,join|grouping|join|aggregation|filtering,212.12
5,domain_specific,EWB,1,1,1,0.5,2,1064|1037|1036|1040|1097,aggregation|domain_specific|domain_specific|domain_specific|grouping,248.26
6,filtering,EWB,1,1,1,0.25,4,1102|1086|1063|1111|1100,join|grouping|aggregation|filtering|join,195.07
7,filtering,EWB,1,1,1,1.0,1,1113|1136|1100|1099|1063,filtering|having|join|join|aggregation,215.23
8,aggregation,EWB,1,1,1,1.0,1,1064|1040|1036|1122|1037,aggregation|domain_specific|domain_specific|quirk|domain_specific,212.82
9,aggregation,EWB,1,1,1,1.0,1,1064|1036|1040|1037|1052,aggregation|domain_specific|domain_specific|domain_specific|domain_specific,224.15
10,aggregation,EWB,1,1,1,1.0,1,1064|1040|1041|1037|1022,aggregation|domain_specific|domain_specific|domain_specific|ranking,226.65
11,aggregation,EWB,1,1,1,1.0,1,1062|1083|1077|1124|1086,aggregation|grouping|aggregation|quirk|grouping,217.38
12,aggregation,EWB,1,1,1,1.0,1,1063|1020|1136|1102|1100,aggregation|ranking|having|join|join,212.94
13,quirk,EWB,1,1,1,1.0,1,1120|1040|1038|1064|1061,quirk|domain_specific|domain_specific|aggregation|aggregation,218.72
14,aggregation,EWB,1,1,1,0.25,4,1128|1038|1130|1061|1098,subquery|domain_specific|subquery|aggregation|join,218.16
15,aggregation,EWB,1,1,1,1.0,1,1061|1128|1038|1113|1098,aggregation|subquery|domain_specific|filtering|join,211.4
16,aggregation,EWB,0,1,0,0.0,0,1102|1122|1083|1086|1130,join|quirk|grouping|grouping|subquery,213.89
17,aggregation,EWB,1,1,1,1.0,1,1063|1083|1130|1073|1102,aggregation|grouping|subquery|aggregation|join,209.12
18,domain_specific,EWB,1,1,1,1.0,1,1038|1086|1063|1039|1111,domain_specific|grouping|aggregation|domain_specific|filtering,223.96
19,domain_specific,EWB,1,1,1,1.0,1,1039|1086|1129|1101|1063,domain_specific|grouping|subquery|join|aggregation,228.15
20,aggregation,EWB,1,1,1,0.2,5,1101|1042|1098|1043|1061,join|domain_specific|join|domain_specific|aggregation,215.86
21,grouping,EWB,1,1,1,1.0,1,1086|1063|1102|1100|1111,grouping|aggregation|join|join|filtering,203.62
22,grouping,EWB,1,1,1,1.0,1,1085|1038|1092|1084|1082,grouping|domain_specific|grouping|grouping|grouping,213.86
23,grouping,EWB,1,1,1,0.5,2,1110|1086|1039|1063|1129,filtering|grouping|domain_specific|aggregation|subquery,220.94
24,ranking,EWB,1,1,1,1.0,1,1018|1084|1067|1130|1016,ranking|grouping|aggregation|subquery|ranking,281.18
25,ranking,EWB,1,1,1,1.0,1,1017|1020|1022|1129|1060,ranking|ranking|ranking|subquery|aggregation,217.29
26,ranking,EWB,1,1,1,1.0,1,1016|1019|1034|1021|1030,ranking|ranking|ranking|ranking|ranking,226.08
27,quirk,EWB,1,1,1,1.0,1,1121|1112|1120|1101|1098,quirk|filtering|quirk|join|join,226.55
28,grouping,EWB,1,1,1,1.0,1,1082|1085|1090|1037|1097,grouping|grouping|grouping|domain_specific|grouping,238.57
29,aggregation,EWB,1,1,1,0.2,5,1099|1098|1100|1102|1063,join|join|join|join|aggregation,215.81
30,aggregation,EWB,1,1,1,0.3333,3,1099|1100|1063|1102|1113,join|join|aggregation|join|filtering,218.91
31,aggregation,EWB,1,1,0,1.0,1,1077|1096|1086|1073|1078,aggregation|grouping|grouping|aggregation|aggregation,222.2
32,grouping,EWB,1,1,1,1.0,1,1084|1018|1083|1085|1101,grouping|ranking|grouping|grouping|join,220.79
33,ranking,EWB,1,1,1,0.5,2,1083|1018|1084|1102|1122,grouping|ranking|grouping|join|quirk,221.46
34,grouping,EWB,1,1,1,0.2,5,1038|1061|1128|1098|1086,domain_specific|aggregation|subquery|join|grouping,223.39
35,join,EWB,1,1,1,1.0,1,1101|1098|1038|1042|1102,join|join|domain_specific|domain_specific|join,213.27
36,join,EWB,1,1,1,1.0,1,1100|1063|1102|1111|1112,join|aggregation|join|filtering|filtering,212.96
37,grouping,EWB,1,1,1,0.25,4,1038|1101|1061|1086|1128,domain_specific|join|aggregation|grouping|subquery,242.78
38,ranking,EWB,1,1,1,1.0,1,1020|1017|1136|1063|1086,ranking|ranking|having|aggregation|grouping,208.61
39,join,EWB,0,1,0,0.0,0,1066|1043|1129|1039|1042,aggregation|domain_specific|subquery|domain_specific|domain_specific,224.71
40,filtering,EWB,0,1,0,0.0,0,1042|1043|1101|1066|1038,domain_specific|domain_specific|join|aggregation|domain_specific,224.42
41,subquery,EWB,1,1,1,1.0,1,1129|1037|1128|1064|1113,subquery|domain_specific|subquery|aggregation|filtering,240.09
42,grouping,EWB,1,1,1,1.0,1,1082|1090|1037|1017|1087,grouping|grouping|domain_specific|ranking|grouping,239.27
43,aggregation,GSTR-3B,0,1,0,0.0,0,1091|1115|1006|1014|1119,grouping|filtering|decode|decode|filtering,206.86
44,aggregation,GSTR-3B,0,1,0,0.0,0,1012|1091|1115|1138|1027,decode|grouping|filtering|having|ranking,217.66
45,domain_specific,GSTR-3B,1,1,1,0.25,4,1011|1009|1015|1049|1004,decode|decode|decode|domain_specific|decode,206.2
46,domain_specific,GSTR-3B,1,1,1,0.2,5,1072|1092|1132|1114|1051,aggregation|grouping|subquery|filtering|domain_specific,243.4
47,domain_specific,GSTR-3B,1,1,1,1.0,1,1051|1055|1069|1047|1068,domain_specific|domain_specific|aggregation|domain_specific|aggregation,214.13
48,domain_specific,GSTR-3B,1,1,1,1.0,1,1051|1048|1044|1054|1069,domain_specific|domain_specific|domain_specific|domain_specific|aggregation,231.52
49,filtering,GSTR-3B,1,1,1,0.5,2,1091|1115|1124|1014|1006,grouping|filtering|quirk|decode|decode,208.63
50,filtering,GSTR-3B,1,1,1,0.5,2,1091|1115|1014|1006|1027,grouping|filtering|decode|decode|ranking,275.02
51,domain_specific,GSTR-3B,1,1,1,1.0,1,1045|1046|1050|1087|1051,domain_specific|domain_specific|domain_specific|grouping|domain_specific,226.29
52,domain_specific,GSTR-3B,1,1,1,0.5,2,1008|1050|1072|1069|1053,decode|domain_specific|aggregation|aggregation|domain_specific,210.45
53,filtering,GSTR-3B,1,1,0,0.5,2,1014|1119|1091|1006|1126,decode|filtering|grouping|decode|quirk,239.4
