id,category,module,cat_hit,mod_hit,both_hit,mrr_cat,first_cat_rank,retrieved_ids,retrieved_cats,latency_ms
1,aggregation,EWB,1,1,1,0.3333,3,1136|1086|1063|1102|1100,having|grouping|aggregation|join|join,184.15
2,aggregation,EWB,1,1,1,0.5,2,1038|1061|1101|1128|1113,domain_specific|aggregation|join|subquery|filtering,200.13
3,domain_specific,EWB,1,1,1,1.0,1,1036|1037|1065|1129|1120,domain_specific|domain_specific|aggregation|subquery|quirk,206.51
4,filtering,EWB,0,1,0,0.0,0,1098|1099|1100|1136|1086,join|join|join|having|grouping,183.51
5,domain_specific,EWB,1,1,1,1.0,1,1037|1064|1036|1097|1042,domain_specific|aggregation|domain_specific|grouping|domain_specific,196.45
6,filtering,EWB,0,1,0,0.0,0,1102|1086|1136|1063|1100,join|grouping|having|aggregation|join,178.81
7,filtering,EWB,1,1,1,0.2,5,1099|1136|1100|1086|1113,join|having|join|grouping|filtering,182.01
8,aggregation,EWB,1,1,1,1.0,1,1064|1036|1037|1040|1065,aggregation|domain_specific|domain_specific|domain_specific|aggregation,181.78
9,aggregation,EWB,1,1,1,1.0,1,1064|1036|1037|1060|1065,aggregation|domain_specific|domain_specific|aggregation|aggregation,191.16
10,aggregation,EWB,1,1,1,1.0,1,1064|1065|1060|1037|1036,aggregation|aggregation|aggregation|domain_specific|domain_specific,188.01
11,aggregation,EWB,1,1,1,1.0,1,1062|1124|1063|1229|1073,aggregation|quirk|aggregation|aggregation|aggregation,180.47
12,aggregation,EWB,1,1,1,1.0,1,1063|1086|1136|1020|1102,aggregation|grouping|having|ranking|join,183.84
13,quirk,EWB,1,1,1,1.0,1,1120|1038|1040|1122|1101,quirk|domain_specific|domain_specific|quirk|join,196.48
14,aggregation,EWB,1,1,1,1.0,1,1061|1038|1128|1098|1101,aggregation|domain_specific|subquery|join|join,185.11
15,aggregation,EWB,1,1,1,1.0,1,1061|1128|1113|1038|1060,aggregation|subquery|filtering|domain_specific|aggregation,182.63
16,aggregation,EWB,1,1,1,0.3333,3,1102|1122|1063|1130|1086,join|quirk|aggregation|subquery|grouping,186.6
17,aggregation,EWB,1,1,1,0.5,2,1083|1063|1102|1086|1136,grouping|aggregation|join|grouping|having,184.44
18,domain_specific,EWB,1,1,1,0.3333,3,1136|1063|1038|1086|1039,having|aggregation|domain_specific|grouping|domain_specific,178.3
19,domain_specific,EWB,1,1,1,0.25,4,1136|1063|1086|1039|1101,having|aggregation|grouping|domain_specific|join,184.23
20,aggregation,EWB,1,1,1,0.25,4,1101|1038|1098|1061|1042,join|domain_specific|join|aggregation|domain_specific,188.57
21,grouping,EWB,1,1,1,1.0,1,1086|1063|1102|1136|1100,grouping|aggregation|join|having|join,180.75
22,grouping,EWB,1,1,1,1.0,1,1085|1038|1101|1016|1084,grouping|domain_specific|join|ranking|grouping,189.36
23,grouping,EWB,1,1,1,0.3333,3,1136|1063|1086|1020|1110,having|aggregation|grouping|ranking|filtering,184.4
24,ranking,EWB,1,1,1,1.0,1,1018|1084|1067|1083|1128,ranking|grouping|aggregation|grouping|subquery,178.38
25,ranking,EWB,1,1,1,1.0,1,1017|1020|1060|1022|1129,ranking|ranking|aggregation|ranking|subquery,190.64
26,ranking,EWB,1,1,1,1.0,1,1016|1019|1034|1021|1030,ranking|ranking|ranking|ranking|ranking,192.82
27,quirk,EWB,1,1,1,1.0,1,1121|1112|1101|1120|1038,quirk|filtering|join|quirk|domain_specific,185.73
28,grouping,EWB,1,1,1,1.0,1,1082|1090|1036|1085|1037,grouping|grouping|domain_specific|grouping|domain_specific,178.68
29,aggregation,EWB,0,1,0,0.0,0,1099|1100|1098|1040|1086,join|join|join|domain_specific|grouping,189.03
30,aggregation,EWB,1,1,1,0.25,4,1099|1100|1086|1063|1040,join|join|grouping|aggregation|domain_specific,186.17
31,aggregation,EWB,1,1,0,0.5,2,1100|1229|1115|1073|1126,join|aggregation|filtering|aggregation|quirk,186.84
32,grouping,EWB,1,1,1,1.0,1,1084|1018|1083|1101|1067,grouping|ranking|grouping|join|aggregation,187.16
33,ranking,EWB,1,1,1,0.5,2,1083|1018|1102|1084|1130,grouping|ranking|join|grouping|subquery,181.91
34,grouping,EWB,0,1,0,0.0,0,1061|1038|1128|1101|1113,aggregation|domain_specific|subquery|join|filtering,184.86
35,join,EWB,1,1,1,1.0,1,1101|1098|1038|1102|1042,join|join|domain_specific|join|domain_specific,188.31
36,join,EWB,1,1,1,1.0,1,1100|1136|1128|1063|1086,join|having|subquery|aggregation|grouping,188.96
37,grouping,EWB,0,1,0,0.0,0,1038|1101|1061|1128|1113,domain_specific|join|aggregation|subquery|filtering,187.27
38,ranking,EWB,1,1,1,1.0,1,1020|1136|1017|1063|1086,ranking|having|ranking|aggregation|grouping,180.43
39,join,EWB,0,1,0,0.0,0,1066|1042|1039|1043|1129,aggregation|domain_specific|domain_specific|domain_specific|subquery,200.29
40,filtering,EWB,0,1,0,0.0,0,1042|1043|1066|1101|1037,domain_specific|domain_specific|aggregation|join|domain_specific,190.42
41,subquery,EWB,1,1,1,1.0,1,1129|1064|1037|1036|1039,subquery|aggregation|domain_specific|domain_specific|domain_specific,216.15
42,grouping,EWB,1,1,1,1.0,1,1082|1090|1036|1046|1037,grouping|grouping|domain_specific|domain_specific|domain_specific,203.54
43,aggregation,GSTR-3B,0,1,0,0.0,0,1091|1115|1014|1006|1237,grouping|filtering|decode|decode|join,183.65
44,aggregation,GSTR-3B,0,1,0,0.0,0,1237|1027|1091|1115|1219,join|ranking|grouping|filtering|join,177.53
