id,category,module,n_gold,n_retrieved,recall,full_cover,decode_cov,gold_tables,missed
1,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
2,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
3,domain_specific,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
4,filtering,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
5,domain_specific,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
6,filtering,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
7,filtering,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
8,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
9,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
10,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
11,aggregation,EWB,1,6,1.0,1,,public.tbl_ewb_parta_ewb,
12,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
13,quirk,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
14,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
15,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
16,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
17,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
18,domain_specific,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
19,domain_specific,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
20,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
21,grouping,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
22,grouping,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
23,grouping,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
24,ranking,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
25,ranking,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
26,ranking,EWB,1,6,1.0,1,,public.tbl_ewb_parta_ewb,
27,quirk,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
28,grouping,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
29,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_partb_ewb_canceldet,
30,aggregation,EWB,1,7,1.0,1,,public.tbl_ewb_partb_ewb_rejdtl,
31,aggregation,EWB,1,8,1.0,1,,public.tbl_ewb_partb_ewb_partbdet,
32,grouping,EWB,1,8,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
33,ranking,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
34,grouping,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
35,join,EWB,2,7,1.0,1,,public.tbl_ewb_parta_ewb|public.tbl_ewb_parta_ewb_itemlist,
36,join,EWB,2,7,1.0,1,,public.tbl_ewb_partb_ewb|public.tbl_ewb_partb_ewb_extenddet,
37,grouping,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
38,ranking,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
39,join,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
40,filtering,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb_itemlist,
41,subquery,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
42,grouping,EWB,1,7,1.0,1,,public.tbl_ewb_parta_ewb,
43,aggregation,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
44,aggregation,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
45,domain_specific,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
46,domain_specific,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
47,domain_specific,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
48,domain_specific,GSTR-3B,1,7,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
49,filtering,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
50,filtering,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
51,domain_specific,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
52,domain_specific,GSTR-3B,1,7,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
53,filtering,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
54,domain_specific,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
55,aggregation,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
56,quirk,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
57,aggregation,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
58,domain_specific,GSTR-3B,1,7,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
59,ranking,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
60,grouping,GSTR-3B,1,7,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
61,grouping,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
62,grouping,GSTR-3B,2,6,0.5,0,0,common.mst_fy_years_t|live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,common.mst_fy_years_t
63,aggregation,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
64,ranking,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
65,domain_specific,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
66,filtering,GSTR-3B,1,6,1.0,1,,live_reports.r3b_comphrehensive_list_mv_upd1_t_partitioned,
