id,module,difficulty,category,question,gold_sql,runs,ex_passes,ver_passes,em_passes,ex_rate,ver_rate,last_pred_sql,last_error
1,EWB,simple,aggregation,How many e-way bills are there?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT COUNT(*) AS total_eway_bills
FROM public.tbl_ewb_parta_ewb
LIMIT 100;",
2,EWB,simple,aggregation,What is the total assessable value across all e-way bills?,SELECT SUM(assval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT SUM(e.assval) AS total_assessable_value
FROM public.tbl_ewb_parta_ewb e
LIMIT 100",
3,EWB,simple,domain_specific,What is the total IGST collected on inter-state e-way bills?,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,3,3,3,0,1.0,1.0,"SELECT SUM(e.igstval) AS total_igst_collected
FROM public.tbl_ewb_parta_ewb e
WHERE e.frstat <> e.tostat;",
4,EWB,simple,filtering,How many e-way bills are cancelled?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'CNL';,3,3,3,0,1.0,1.0,"SELECT COUNT(*) AS cancelled_ewb_count
FROM public.tbl_ewb_parta_ewb
WHERE status = 'CNL'
LIMIT 100;",
5,EWB,simple,domain_specific,What is the total tax (CGST + SGST + IGST) collected across all e-way bills?,SELECT SUM(cgstval + sgstval + igstval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT SUM(cgstval + sgstval + igstval) AS total_tax_collected
FROM public.tbl_ewb_parta_ewb
LIMIT 100;",
6,EWB,simple,filtering,How many e-way bills are active?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'ACT';,3,3,3,0,1.0,1.0,"SELECT COUNT(*) AS active_ewb_count
FROM public.tbl_ewb_parta_ewb
WHERE status = 'ACT'
LIMIT 100;",
7,EWB,simple,filtering,How many e-way bills have expired?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'EXP';,3,3,3,0,1.0,1.0,"SELECT COUNT(*) AS expired_ewb_count
FROM public.tbl_ewb_parta_ewb
WHERE status = 'EXP'
LIMIT 100;",
8,EWB,simple,aggregation,What is the total CGST across all e-way bills?,SELECT SUM(cgstval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT SUM(cgstval) AS total_cgst
FROM public.tbl_ewb_parta_ewb
LIMIT 100;",
9,EWB,simple,aggregation,What is the total SGST across all e-way bills?,SELECT SUM(sgstval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT SUM(sgstval) AS total_sgst
FROM public.tbl_ewb_parta_ewb
LIMIT 100;",
10,EWB,simple,aggregation,What is the total IGST across all e-way bills?,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT SUM(igstval) AS total_igst
FROM public.tbl_ewb_parta_ewb
LIMIT 100",
11,EWB,simple,aggregation,How many distinct consignors are there?,SELECT COUNT(DISTINCT frgstin) AS n FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT COUNT(DISTINCT frgstin) AS distinct_consignors
FROM public.tbl_ewb_parta_ewb
LIMIT 100;",
12,EWB,simple,aggregation,How many distinct destination states appear in e-way bills?,SELECT COUNT(DISTINCT tostat) AS n FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT COUNT(DISTINCT e.tostat) AS distinct_destination_states
FROM public.tbl_ewb_parta_ewb e
LIMIT 100;",
13,EWB,simple,quirk,"What is the total invoice value (gross, including tax) across all e-way bills?","SELECT SUM(""InvVal"") AS v FROM public.tbl_ewb_parta_ewb;",3,3,3,0,1.0,1.0,"SELECT SUM(e.""InvVal"") AS total_invoice_value
FROM public.tbl_ewb_parta_ewb e
LIMIT 100;",
14,EWB,simple,aggregation,What is the average assessable value of an e-way bill?,SELECT AVG(assval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT AVG(e.assval) AS avg_assessable_value
FROM public.tbl_ewb_parta_ewb e
LIMIT 100;",
15,EWB,simple,aggregation,What is the highest assessable value among all e-way bills?,SELECT MAX(assval) AS v FROM public.tbl_ewb_parta_ewb;,3,3,3,0,1.0,1.0,"SELECT MAX(assval) AS highest_assessable_value
FROM public.tbl_ewb_parta_ewb
LIMIT 100",
16,EWB,simple,aggregation,How many item lines are there across all e-way bills?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb_itemlist;,3,3,3,0,1.0,1.0,"SELECT COUNT(*) AS total_item_lines
FROM public.tbl_ewb_parta_ewb_itemlist
LIMIT 100;",
17,EWB,simple,aggregation,How many distinct HSN codes appear in e-way bill items?,SELECT COUNT(DISTINCT hsncod) AS n FROM public.tbl_ewb_parta_ewb_itemlist;,3,3,3,0,1.0,1.0,"SELECT COUNT(DISTINCT itemlist.hsncod) AS distinct_hsn_count
FROM public.tbl_ewb_parta_ewb_itemlist itemlist
LIMIT 100;",
18,EWB,simple,domain_specific,How many e-way bills are intra-state?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE frstat = tostat;,3,3,3,0,1.0,1.0,"SELECT COUNT(*) AS intra_state_ewb_count
FROM public.tbl_ewb_parta_ewb
WHERE frstat = tostat
LIMIT 100;",
19,EWB,simple,domain_specific,How many e-way bills are inter-state?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,3,3,3,0,1.0,1.0,"SELECT COUNT(*) AS inter_state_ewb_count
FROM public.tbl_ewb_parta_ewb
WHERE frstat <> tostat
LIMIT 100;",
20,EWB,simple,aggregation,What is the total assessable amount across all e-way bill items?,SELECT SUM(assamt) AS v FROM public.tbl_ewb_parta_ewb_itemlist;,3,3,3,0,1.0,1.0,"SELECT SUM(ei.assamt) AS total_assessable_amount
FROM public.tbl_ewb_parta_ewb_itemlist ei
LIMIT 100;",
21,EWB,moderate,grouping,How many e-way bills are there for each status?,"SELECT status, COUNT(*) AS n FROM public.tbl_ewb_parta_ewb GROUP BY status;",3,3,3,0,1.0,1.0,"SELECT
    e.status,
    COUNT(*) AS ewb_count
FROM
    public.tbl_ewb_parta_ewb e
GROUP BY
    e.status
ORDER BY
    e.status
LIMIT 100;",
22,EWB,moderate,grouping,What is the total assessable value for each consignor state?,"SELECT frstat, SUM(assval) AS v FROM public.tbl_ewb_parta_ewb GROUP BY frstat;",3,3,3,0,1.0,1.0,"SELECT
    e.frstat AS consignor_state_code,
    SUM(e.assval) AS total_assessable_value
FROM
    public.tbl_ewb_parta_ewb e
GROUP BY
    e.frstat
ORDER BY
    total_assessable_value DESC
LIMIT 100;",
23,EWB,moderate,grouping,How many e-way bills originate from each state?,"SELECT frstat, COUNT(*) AS n FROM public.tbl_ewb_parta_ewb GROUP BY frstat;",3,3,3,0,1.0,1.0,"SELECT
    e.frstat AS state_code,
    COUNT(*) AS ewb_count
FROM
    public.tbl_ewb_parta_ewb e
GROUP BY
    e.frstat
ORDER BY
    ewb_count DESC
LIMIT 100",
