id,module,difficulty,category,question,gold_sql,runs,ex_passes,ver_passes,em_passes,ex_rate,ver_rate,last_pred_sql,last_error
1,EWB,simple,aggregation,How many e-way bills are there?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS total_eway_bills FROM public.tbl_ewb_parta_ewb;,
2,EWB,simple,aggregation,What is the total assessable value across all e-way bills?,SELECT SUM(assval) AS v FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT SUM(assval) AS total_assessable_value FROM public.tbl_ewb_parta_ewb;,
3,EWB,simple,domain_specific,What is the total IGST collected on inter-state e-way bills?,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,1,1,1,0,1.0,1.0,SELECT SUM(igstval) AS total_igst_collected FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,
4,EWB,simple,filtering,How many e-way bills are cancelled?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'CNL';,1,0,1,0,0.0,1.0,SELECT COUNT(DISTINCT tbl_ewb_partb_ewb_canceldet.ewb_no) AS cancelled_ewb_count FROM public.tbl_ewb_partb_ewb JOIN public.tbl_ewb_partb_ewb_canceldet ON tbl_ewb_partb_ewb_canceldet.idtbl_ewb_partb_ewb = tbl_ewb_partb_ewb.idtbl_ewb_partb_ewb;,
5,EWB,simple,domain_specific,What is the total tax (CGST + SGST + IGST) collected across all e-way bills?,SELECT SUM(cgstval + sgstval + igstval) AS v FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT SUM(cgstval) + SUM(sgstval) + SUM(igstval) AS total_tax FROM public.tbl_ewb_parta_ewb;,
6,EWB,simple,filtering,How many e-way bills are active?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'ACT';,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS active_ewb_count FROM public.tbl_ewb_parta_ewb WHERE status = 'ACT';,
7,EWB,simple,filtering,How many e-way bills have expired?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE status = 'EXP';,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS expired_ewb_count FROM public.tbl_ewb_parta_ewb WHERE status = 'EXP';,
8,EWB,simple,aggregation,What is the total CGST across all e-way bills?,SELECT SUM(cgstval) AS v FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT SUM(cgstval) AS total_cgst FROM public.tbl_ewb_parta_ewb;,
9,EWB,simple,aggregation,What is the total SGST across all e-way bills?,SELECT SUM(sgstval) AS v FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT SUM(sgstval) AS total_sgst FROM public.tbl_ewb_parta_ewb;,
10,EWB,simple,aggregation,What is the total IGST across all e-way bills?,SELECT SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT SUM(igstval) AS total_igst FROM public.tbl_ewb_parta_ewb;,
11,EWB,simple,aggregation,How many distinct consignors are there?,SELECT COUNT(DISTINCT frgstin) AS n FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT COUNT(DISTINCT frgstin) AS distinct_consignors FROM public.tbl_ewb_parta_ewb;,
12,EWB,simple,aggregation,How many distinct destination states appear in e-way bills?,SELECT COUNT(DISTINCT tostat) AS n FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT COUNT(DISTINCT tostat) AS distinct_destination_states FROM public.tbl_ewb_parta_ewb;,
13,EWB,simple,quirk,"What is the total invoice value (gross, including tax) across all e-way bills?","SELECT SUM(""InvVal"") AS v FROM public.tbl_ewb_parta_ewb;",1,1,1,0,1.0,1.0,"SELECT SUM(""InvVal"") AS total_invoice_value FROM public.tbl_ewb_parta_ewb;",
14,EWB,simple,aggregation,What is the average assessable value of an e-way bill?,SELECT AVG(assval) AS v FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT AVG(assval) AS average_assessable_value FROM public.tbl_ewb_parta_ewb;,
15,EWB,simple,aggregation,What is the highest assessable value among all e-way bills?,SELECT MAX(assval) AS v FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT MAX(assval) AS highest_assessable_value FROM public.tbl_ewb_parta_ewb;,
16,EWB,simple,aggregation,How many item lines are there across all e-way bills?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb_itemlist;,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS total_item_lines FROM public.tbl_ewb_parta_ewb_itemlist;,
17,EWB,simple,aggregation,How many distinct HSN codes appear in e-way bill items?,SELECT COUNT(DISTINCT hsncod) AS n FROM public.tbl_ewb_parta_ewb_itemlist;,1,1,1,0,1.0,1.0,SELECT COUNT(DISTINCT hsncod) AS distinct_hsn_codes FROM public.tbl_ewb_parta_ewb_itemlist;,
18,EWB,simple,domain_specific,How many e-way bills are intra-state?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE frstat = tostat;,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS intra_state_ewb_count FROM public.tbl_ewb_parta_ewb WHERE frstat = tostat;,
19,EWB,simple,domain_specific,How many e-way bills are inter-state?,SELECT COUNT(*) AS n FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS inter_state_ewb_count FROM public.tbl_ewb_parta_ewb WHERE frstat <> tostat;,
20,EWB,simple,aggregation,What is the total assessable amount across all e-way bill items?,SELECT SUM(assamt) AS v FROM public.tbl_ewb_parta_ewb_itemlist;,1,1,1,0,1.0,1.0,SELECT SUM(assamt) AS total_assessable_amount FROM public.tbl_ewb_parta_ewb_itemlist;,
21,EWB,moderate,grouping,How many e-way bills are there for each status?,"SELECT status, COUNT(*) AS n FROM public.tbl_ewb_parta_ewb GROUP BY status;",1,1,1,0,1.0,1.0,"SELECT status, COUNT(*) AS bill_count FROM public.tbl_ewb_parta_ewb GROUP BY status ORDER BY bill_count DESC;",
22,EWB,moderate,grouping,What is the total assessable value for each consignor state?,"SELECT frstat, SUM(assval) AS v FROM public.tbl_ewb_parta_ewb GROUP BY frstat;",1,1,1,0,1.0,1.0,"SELECT frstat AS consignor_state, SUM(assval) AS total_assessable_value FROM public.tbl_ewb_parta_ewb GROUP BY frstat ORDER BY total_assessable_value DESC LIMIT 100;",
23,EWB,moderate,grouping,How many e-way bills originate from each state?,"SELECT frstat, COUNT(*) AS n FROM public.tbl_ewb_parta_ewb GROUP BY frstat;",1,1,1,0,1.0,1.0,"SELECT frstat AS state_code, COUNT(*) AS ewb_count FROM public.tbl_ewb_parta_ewb GROUP BY frstat ORDER BY ewb_count DESC LIMIT 100;",
24,EWB,moderate,ranking,Which 3 HSN codes have the highest total assessable amount?,"SELECT hsncod, SUM(assamt) AS v FROM public.tbl_ewb_parta_ewb_itemlist GROUP BY hsncod ORDER BY v DESC LIMIT 3;",1,1,1,0,1.0,1.0,"SELECT hsncod, SUM(assamt) AS total_assessable_amount FROM public.tbl_ewb_parta_ewb_itemlist GROUP BY hsncod ORDER BY total_assessable_amount DESC LIMIT 3",
25,EWB,moderate,ranking,Which destination state has the highest total IGST in e-way bills?,"SELECT tostat, SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb GROUP BY tostat ORDER BY v DESC LIMIT 1;",1,1,1,0,1.0,1.0,"SELECT tostat AS destination_state, SUM(igstval) AS total_igst FROM public.tbl_ewb_parta_ewb GROUP BY tostat ORDER BY total_igst DESC LIMIT 1;",
26,EWB,moderate,ranking,List the top 3 consignors by total assessable value.,"SELECT frgstin, SUM(assval) AS v FROM public.tbl_ewb_parta_ewb GROUP BY frgstin ORDER BY v DESC LIMIT 3;",1,1,1,0,1.0,1.0,"SELECT frgstin, SUM(assval) AS total_assessable_value FROM public.tbl_ewb_parta_ewb GROUP BY frgstin ORDER BY total_assessable_value DESC LIMIT 3",
27,EWB,moderate,quirk,"What is the average travel distance declared on e-way bills, in km?",SELECT AVG(CAST(travdist AS numeric)) AS v FROM public.tbl_ewb_parta_ewb;,1,1,1,0,1.0,1.0,SELECT AVG(CAST(travdist AS INTEGER)) AS avg_travel_distance FROM public.tbl_ewb_parta_ewb;,
28,EWB,moderate,grouping,What is the total IGST for each destination state?,"SELECT tostat, SUM(igstval) AS v FROM public.tbl_ewb_parta_ewb GROUP BY tostat;",1,1,1,0,1.0,1.0,"SELECT tostat AS destination_state, SUM(igstval) AS total_igst FROM public.tbl_ewb_parta_ewb GROUP BY tostat ORDER BY total_igst DESC LIMIT 100;",
29,EWB,moderate,aggregation,How many e-way bills were cancelled according to the cancellation event log?,SELECT COUNT(*) AS n FROM public.tbl_ewb_partb_ewb_canceldet;,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS cancelled_ewb_count FROM public.tbl_ewb_partb_ewb_canceldet;,
30,EWB,moderate,aggregation,How many rejection events were recorded on e-way bills?,SELECT COUNT(*) AS n FROM public.tbl_ewb_partb_ewb_rejdtl;,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS rejection_events_count FROM public.tbl_ewb_partb_ewb_rejdtl;,
31,EWB,moderate,aggregation,How many vehicle/transport detail records are there in Part-B?,SELECT COUNT(*) AS n FROM public.tbl_ewb_partb_ewb_partbdet;,1,1,1,0,1.0,1.0,SELECT COUNT(*) AS total_vehicle_transport_detail_records FROM public.tbl_ewb_partb_ewb_partbdet;,
32,EWB,moderate,grouping,What is the total assessable amount for each HSN code?,"SELECT hsncod, SUM(assamt) AS v FROM public.tbl_ewb_parta_ewb_itemlist GROUP BY hsncod;",1,1,1,0,1.0,1.0,"SELECT hsncod, SUM(assamt) AS total_assessable_amount FROM public.tbl_ewb_parta_ewb_itemlist GROUP BY hsncod ORDER BY hsncod;",
33,EWB,moderate,ranking,Which HSN code appears on the most item lines?,"SELECT hsncod, COUNT(*) AS n FROM public.tbl_ewb_parta_ewb_itemlist GROUP BY hsncod ORDER BY n DESC LIMIT 1;",1,0,1,0,0.0,1.0,SELECT hsncod FROM public.tbl_ewb_parta_ewb_itemlist GROUP BY hsncod ORDER BY COUNT(*) DESC LIMIT 1,
34,EWB,moderate,grouping,What is the average assessable value of e-way bills for each status?,"SELECT status, AVG(assval) AS v FROM public.tbl_ewb_parta_ewb GROUP BY status;",1,1,1,0,1.0,1.0,"SELECT status, AVG(assval) AS avg_assessable_value FROM public.tbl_ewb_parta_ewb GROUP BY status;",
35,EWB,challenging,join,What is the total assessable amount of items on active e-way bills?,SELECT SUM(i.assamt) AS v FROM public.tbl_ewb_parta_ewb_itemlist i JOIN public.tbl_ewb_parta_ewb e ON i.idtbl_ewb_parta_ewb = e.idtbl_ewb_parta_ewb WHERE e.status = 'ACT';,1,0,0,0,0.0,0.0,SELECT SUM(t1.assamt) AS total_assessable_amount FROM public.tbl_ewb_parta_ewb AS t1 JOIN public.tbl_ewb_parta AS t2 ON t1.idtbl_ewb_parta = t2.idtbl_ewb_parta WHERE t1.status = 'ACT';,(psycopg2.errors.UndefinedColumn) column t1.assamt does not exist
36,EWB,challenging,join,How many e-way bills had their validity extended?,SELECT COUNT(DISTINCT pb.idtbl_ewb_partb_ewb) AS n FROM public.tbl_ewb_partb_ewb pb JOIN public.tbl_ewb_partb_ewb_extenddet x ON x.idtbl_ewb_partb_ewb = pb.idtbl_ewb_partb_ewb;,1,1,1,0,1.0,1.0,SELECT COUNT(DISTINCT tbl_ewb_partb_ewb.ewb_no) AS extended_ewb_count FROM tbl_ewb_partb_ewb JOIN tbl_ewb_partb_ewb_extenddet ON tbl_ewb_partb_ewb.idtbl_ewb_partb_ewb = tbl_ewb_partb_ewb_extenddet.idtbl_ewb_partb_ewb;,
37,EWB,challenging,grouping,What is the total assessable value of e-way bills for each status?,"SELECT status, SUM(assval) AS v FROM public.tbl_ewb_parta_ewb GROUP BY status;",1,1,1,0,1.0,1.0,"SELECT status, SUM(assval) AS total_assessable_value FROM public.tbl_ewb_parta_ewb GROUP BY status;",
38,EWB,challenging,ranking,Which origin state has the most e-way bills?,"SELECT frstat, COUNT(*) AS n FROM public.tbl_ewb_parta_ewb GROUP BY frstat ORDER BY n DESC LIMIT 1;",1,1,1,0,1.0,1.0,"SELECT frstat AS origin_state, COUNT(*) AS bill_count FROM public.tbl_ewb_parta_ewb GROUP BY frstat ORDER BY bill_count DESC LIMIT 1;",
