id,category,module,cat_hit,mod_hit,both_hit,mrr_cat,first_cat_rank,retrieved_ids,retrieved_cats,latency_ms
1,aggregation,EWB,1,1,1,0.3333,3,1086|1111|1063|1102|1100,grouping|filtering|aggregation|join|join,177.99
2,aggregation,EWB,1,1,1,1.0,1,1061|1038|1128|1040|1113,aggregation|domain_specific|subquery|domain_specific|filtering,191.72
3,domain_specific,EWB,1,1,1,1.0,1,1036|1129|1037|1120|1101,domain_specific|subquery|domain_specific|quirk|join,193.35
4,filtering,EWB,1,1,1,0.25,4,1098|1086|1100|1111|1063,join|grouping|join|filtering|aggregation,182.78
5,domain_specific,EWB,1,1,1,0.5,2,1064|1037|1036|1040|1097,aggregation|domain_specific|domain_specific|domain_specific|grouping,210.39
6,filtering,EWB,1,1,1,0.25,4,1102|1086|1063|1111|1100,join|grouping|aggregation|filtering|join,180.01
7,filtering,EWB,1,1,1,1.0,1,1113|1136|1100|1099|1063,filtering|having|join|join|aggregation,174.5
8,aggregation,EWB,1,1,1,1.0,1,1064|1040|1036|1037|1017,aggregation|domain_specific|domain_specific|domain_specific|ranking,188.94
9,aggregation,EWB,1,1,1,1.0,1,1064|1036|1040|1037|1122,aggregation|domain_specific|domain_specific|domain_specific|quirk,189.86
10,aggregation,EWB,1,1,1,1.0,1,1064|1040|1037|1065|1022,aggregation|domain_specific|domain_specific|aggregation|ranking,182.96
11,aggregation,EWB,1,1,1,1.0,1,1062|1124|1077|1083|1086,aggregation|quirk|aggregation|grouping|grouping,180.65
12,aggregation,EWB,1,1,1,1.0,1,1063|1020|1136|1102|1086,aggregation|ranking|having|join|grouping,185.98
13,quirk,EWB,1,1,1,1.0,1,1120|1040|1038|1061|1064,quirk|domain_specific|domain_specific|aggregation|aggregation,200.46
14,aggregation,EWB,1,1,1,0.2,5,1128|1038|1130|1113|1061,subquery|domain_specific|subquery|filtering|aggregation,182.81
15,aggregation,EWB,1,1,1,1.0,1,1061|1128|1038|1113|1098,aggregation|subquery|domain_specific|filtering|join,192.58
16,aggregation,EWB,0,1,0,0.0,0,1102|1122|1083|1086|1130,join|quirk|grouping|grouping|subquery,181.66
17,aggregation,EWB,1,1,1,1.0,1,1063|1083|1130|1229|1073,aggregation|grouping|subquery|aggregation|aggregation,183.01
18,domain_specific,EWB,1,1,1,1.0,1,1038|1086|1039|1063|1020,domain_specific|grouping|domain_specific|aggregation|ranking,187.35
19,domain_specific,EWB,1,1,1,1.0,1,1039|1086|1129|1101|1120,domain_specific|grouping|subquery|join|quirk,181.0
20,aggregation,EWB,1,1,1,0.25,4,1101|1042|1098|1061|1130,join|domain_specific|join|aggregation|subquery,189.27
21,grouping,EWB,1,1,1,1.0,1,1086|1063|1102|1111|1100,grouping|aggregation|join|filtering|join,191.38
22,grouping,EWB,1,1,1,1.0,1,1085|1038|1084|1238|1092,grouping|domain_specific|grouping|join|grouping,186.36
23,grouping,EWB,1,1,1,0.5,2,1110|1086|1020|1039|1129,filtering|grouping|ranking|domain_specific|subquery,176.39
24,ranking,EWB,1,1,1,1.0,1,1018|1084|1067|1130|1016,ranking|grouping|aggregation|subquery|ranking,183.57
25,ranking,EWB,1,1,1,1.0,1,1017|1020|1022|1129|1060,ranking|ranking|ranking|subquery|aggregation,195.92
26,ranking,EWB,1,1,1,1.0,1,1016|1019|1034|1021|1030,ranking|ranking|ranking|ranking|ranking,182.65
27,quirk,EWB,1,1,1,1.0,1,1121|1112|1120|1098|1101,quirk|filtering|quirk|join|join,182.96
28,grouping,EWB,1,1,1,1.0,1,1082|1085|1090|1037|1097,grouping|grouping|grouping|domain_specific|grouping,187.19
29,aggregation,EWB,1,1,1,0.2,5,1099|1098|1100|1102|1063,join|join|join|join|aggregation,192.98
30,aggregation,EWB,1,1,1,0.3333,3,1099|1100|1063|1113|1102,join|join|aggregation|filtering|join,180.34
31,aggregation,EWB,1,1,0,1.0,1,1229|1077|1096|1086|1083,aggregation|aggregation|grouping|grouping|grouping,189.94
32,grouping,EWB,1,1,1,1.0,1,1084|1018|1083|1085|1067,grouping|ranking|grouping|grouping|aggregation,184.66
33,ranking,EWB,1,1,1,0.5,2,1083|1018|1084|1102|1122,grouping|ranking|grouping|join|quirk,179.51
34,grouping,EWB,1,1,1,0.25,4,1038|1128|1061|1086|1098,domain_specific|subquery|aggregation|grouping|join,192.48
35,join,EWB,1,1,1,1.0,1,1098|1101|1038|1042|1102,join|join|domain_specific|domain_specific|join,184.67
36,join,EWB,1,1,1,1.0,1,1100|1063|1102|1128|1111,join|aggregation|join|subquery|filtering,184.95
37,grouping,EWB,1,1,1,0.2,5,1038|1061|1128|1101|1086,domain_specific|aggregation|subquery|join|grouping,188.11
38,ranking,EWB,1,1,1,1.0,1,1020|1017|1136|1086|1063,ranking|ranking|having|grouping|aggregation,184.61
39,join,EWB,0,1,0,0.0,0,1066|1043|1129|1039|1042,aggregation|domain_specific|subquery|domain_specific|domain_specific,186.25
40,filtering,EWB,0,1,0,0.0,0,1042|1043|1066|1101|1065,domain_specific|domain_specific|aggregation|join|aggregation,191.63
41,subquery,EWB,1,1,1,1.0,1,1129|1037|1128|1131|1064,subquery|domain_specific|subquery|subquery|aggregation,212.35
42,grouping,EWB,1,1,1,1.0,1,1082|1090|1017|1037|1129,grouping|grouping|ranking|domain_specific|subquery,190.93
43,aggregation,GSTR-3B,0,1,0,0.0,0,1091|1115|1006|1014|1119,grouping|filtering|decode|decode|filtering,178.53
44,aggregation,GSTR-3B,0,1,0,0.0,0,1237|1219|1091|1012|1115,join|join|grouping|decode|filtering,185.0
45,domain_specific,GSTR-3B,1,1,1,0.5,2,1004|1049|1011|1015|1047,decode|domain_specific|decode|decode|domain_specific,189.64
46,domain_specific,GSTR-3B,0,1,0,0.0,0,1072|1132|1070|1114|1092,aggregation|subquery|aggregation|filtering|grouping,190.63
47,domain_specific,GSTR-3B,1,1,1,1.0,1,1051|1055|1069|1068|1072,domain_specific|domain_specific|aggregation|aggregation|aggregation,193.62
48,domain_specific,GSTR-3B,1,1,1,1.0,1,1051|1044|1048|1054|1069,domain_specific|domain_specific|domain_specific|domain_specific|aggregation,190.97
49,filtering,GSTR-3B,1,1,1,0.5,2,1091|1115|1124|1014|1006,grouping|filtering|quirk|decode|decode,181.43
50,filtering,GSTR-3B,1,1,1,0.5,2,1091|1115|1237|1014|1006,grouping|filtering|join|decode|decode,187.64
51,domain_specific,GSTR-3B,1,1,1,1.0,1,1045|1046|1074|1050|1087,domain_specific|domain_specific|aggregation|domain_specific|grouping,192.0
52,domain_specific,GSTR-3B,1,1,1,0.5,2,1008|1050|1241|1072|1069,decode|domain_specific|aggregation|aggregation|aggregation,191.27
53,filtering,GSTR-3B,1,1,0,0.5,2,1014|1119|1091|1216|1006,decode|filtering|grouping|subquery|decode,189.97
54,domain_specific,GSTR-3B,1,1,1,1.0,1,1046|1048|1045|1050|1047,domain_specific|domain_specific|domain_specific|domain_specific|domain_specific,199.51
55,aggregation,GSTR-3B,1,1,1,1.0,1,1073|1071|1126|1229|1115,aggregation|aggregation|quirk|aggregation|filtering,181.46
56,quirk,GSTR-3B,1,1,1,1.0,1,1126|1073|1071|1229|1026,quirk|aggregation|aggregation|aggregation|ranking,182.14
57,aggregation,GSTR-3B,1,1,1,1.0,1,1074|1089|1068|1046|1045,aggregation|grouping|aggregation|domain_specific|domain_specific,199.87
58,domain_specific,GSTR-3B,1,1,1,1.0,1,1047|1048|1056|1059|1051,domain_specific|domain_specific|domain_specific|domain_specific|domain_specific,192.69
59,ranking,GSTR-3B,1,1,1,1.0,1,1025|1023|1213|1217|1016,ranking|ranking|decode|having|ranking,185.56
60,grouping,GSTR-3B,1,1,1,1.0,1,1088|1109|1059|1056|1224,grouping|join|domain_specific|domain_specific|aggregation,187.24
61,grouping,GSTR-3B,1,1,1,0.5,2,1024|1092|1133|1210|1137,ranking|grouping|subquery|join|having,184.99
62,grouping,GSTR-3B,1,1,1,1.0,1,1091|1006|1014|1115|1119,grouping|decode|decode|filtering|filtering,185.8
63,aggregation,GSTR-3B,1,1,1,0.5,2,1214|1072|1132|1070|1049,decode|aggregation|subquery|aggregation|domain_specific,198.99
64,ranking,GSTR-3B,1,1,1,1.0,1,1026|1239|1027|1125|1132,ranking|ranking|ranking|quirk|subquery,182.09
65,domain_specific,GSTR-3B,1,1,1,1.0,1,1045|1046|1074|1242|1050,domain_specific|domain_specific|aggregation|domain_specific|domain_specific,203.25
66,filtering,GSTR-3B,1,1,1,0.5,2,1050|1114|1241|1091|1071,domain_specific|filtering|aggregation|grouping|aggregation,189.68
67,grouping,GSTR-3B,1,1,1,1.0,1,1088|1092|1024|1072|1132,grouping|grouping|ranking|aggregation|subquery,185.63
68,domain_specific,GSTR-3B,1,1,1,1.0,1,1051|1055|1054|1097|1222,domain_specific|domain_specific|domain_specific|grouping|aggregation,203.69
69,grouping,GSTR-3B,1,1,1,1.0,1,1087|1029|1090|1004|1089,grouping|ranking|grouping|decode|grouping,185.5
70,grouping,GSTR-3B,1,1,1,0.5,2,1237|1091|1115|1006|1014,join|grouping|filtering|decode|decode,192.46
71,decode,GSTR-3B,1,1,1,1.0,1,1001|1010|1002|1003|1009,decode|decode|decode|decode|decode,186.37
72,ranking,GSTR-3B,1,1,1,1.0,1,1025|1016|1023|1024|1092,ranking|ranking|ranking|ranking|grouping,179.91
73,decode,GSTR-3B,1,1,1,1.0,1,1012|1214|1215|1007|1213,decode|decode|having|decode|decode,201.84
74,decode,GSTR-3B,1,1,1,1.0,1,1015|1214|1006|1005|1011,decode|decode|decode|decode|decode,192.01
75,ranking,GSTR-3B,1,1,1,1.0,1,1239|1029|1109|1024|1056,ranking|ranking|join|ranking|domain_specific,176.93
76,grouping,GSTR-3B,1,1,1,1.0,1,1090|1097|1010|1049|1222,grouping|grouping|decode|domain_specific|aggregation,197.93
77,subquery,GSTR-3B,1,1,1,1.0,1,1133|1214|1131|1132|1012,subquery|decode|subquery|subquery|decode,199.46
78,decode,GSTR-3B,1,1,1,1.0,1,1008|1012|1001|1010|1138,decode|decode|decode|decode|having,186.33
79,ranking,GSTR-3B,1,1,1,1.0,1,1023|1025|1049|1015|1010,ranking|ranking|domain_specific|decode|decode,213.28
80,grouping,GSTR-3B,1,1,1,1.0,1,1087|1089|1090|1008|1142,grouping|grouping|grouping|decode|grouping,181.72
81,aggregation,GSTR-7,1,1,1,0.25,4,1119|1117|1091|1078|1139,filtering|filtering|grouping|aggregation|having,180.44
82,aggregation,GSTR-7,1,1,1,1.0,1,1227|1226|1077|1081|1115,aggregation|filtering|aggregation|aggregation|filtering,184.64
83,domain_specific,GSTR-7,1,1,1,0.5,2,1103|1055|1054|1053|1056,join|domain_specific|domain_specific|domain_specific|domain_specific,188.77
84,aggregation,GSTR-7,1,1,1,0.25,4,1117|1139|1030|1229|1073,filtering|having|ranking|aggregation|aggregation,184.67
85,aggregation,GSTR-7,1,1,1,1.0,1,1229|1081|1230|1105|1073,aggregation|aggregation|having|join|aggregation,188.34
86,aggregation,GSTR-7,1,1,1,0.25,4,1094|1096|1118|1077|1229,grouping|grouping|filtering|aggregation|aggregation,194.62
87,aggregation,GSTR-7,1,1,1,1.0,1,1077|1096|1076|1094|1079,aggregation|grouping|aggregation|grouping|aggregation,182.82
88,domain_specific,GSTR-7,1,1,1,1.0,1,1052|1093|1053|1118|1058,domain_specific|grouping|domain_specific|filtering|domain_specific,182.9
89,domain_specific,GSTR-7,1,1,1,1.0,1,1052|1058|1093|1053|1075,domain_specific|domain_specific|grouping|domain_specific|aggregation,203.17
